,Name,Zipcode,Value
644,ROZELLE,2039,0.001632459182157071
749,ARNDELL PARK,2148,0.0037037386410908734
772,BLACKTOWN,2148,0.0037037386410908734
896,HUNTINGWOOD,2148,0.0037037386410908734
911,KINGS PARK,2148,0.0037037386410908734
938,MARAYONG,2148,0.0037037386410908734
997,PROSPECT,2148,0.0037037386410908734
1170,CASULA,2170,0.0021137160421967633
1178,CHIPPING NORTON,2170,0.0021137160421967633
1256,HAMMONDVILLE,2170,0.0021137160421967633
1294,LIVERPOOL,2170,0.0021137160421967633
1301,LURNEA,2170,0.0021137160421967633
1328,MOOREBANK,2170,0.0021137160421967633
1336,MOUNT PRITCHARD,2170,0.0021137160421967633
1365,PRESTONS,2170,0.0021137160421967633
1436,WARWICK FARM,2170,0.0021137160421967633
1549,CHULLORA,2190,0.001598622780506476
1616,GREENACRE,2190,0.001598622780506476
1702,MOUNT LEWIS,2190,0.001598622780506476
1920,CLEMTON PARK,2206,0.0021800439588440254
1945,EARLWOOD,2206,0.0021800439588440254
2161,UNDERCLIFFE,2206,0.0021800439588440254
2218,ALISON,2259,0.0012604354304779836
2263,BUSHELLS RIDGE,2259,0.0012604354304779836
2281,CEDAR BRUSH CREEK,2259,0.0012604354304779836
2282,CHAIN VALLEY BAY,2259,0.0012604354304779836
2297,CRANGAN BAY,2259,0.0012604354304779836
2304,DOORALONG,2259,0.0012604354304779836
2312,DURREN DURREN,2259,0.0012604354304779836
2330,FRAZER PARK,2259,0.0012604354304779836
2331,FREEMANS,2259,0.0012604354304779836
2357,GWANDALAN,2259,0.0012604354304779836
2359,HALLORAN,2259,0.0012604354304779836
2362,HAMLYN TERRACE,2259,0.0012604354304779836
2376,JILLIBY,2259,0.0012604354304779836
2378,KANWAL,2259,0.0012604354304779836
2384,KIAR,2259,0.0012604354304779836
2386,KINGFISHER SHORES,2259,0.0012604354304779836
2393,LAKE MUNMORAH,2259,0.0012604354304779836
2395,LEMON TREE,2259,0.0012604354304779836
2400,LITTLE JILLIBY,2259,0.0012604354304779836
2412,MANNERING PARK,2259,0.0012604354304779836
2415,MARDI,2259,0.0012604354304779836
2433,MOONEE,2259,0.0012604354304779836
2471,POINT WOLSTONCROFT,2259,0.0012604354304779836
2477,RAVENSDALE,2259,0.0012604354304779836
2486,ROCKY POINT,2259,0.0012604354304779836
2507,SUMMERLAND POINT,2259,0.0012604354304779836
2509,TACOMA,2259,0.0012604354304779836
2510,TACOMA SOUTH,2259,0.0012604354304779836
2525,TUGGERAH,2259,0.0012604354304779836
2526,TUGGERAWONG,2259,0.0012604354304779836
2532,WADALBA,2259,0.0012604354304779836
2535,WALLARAH,2259,0.0012604354304779836
2541,WARNERVALE,2259,0.0012604354304779836
2544,WATANOBBI,2259,0.0012604354304779836
2570,WOONGARRAH,2259,0.0012604354304779836
2572,WYBUNG,2259,0.0012604354304779836
2573,WYEE,2259,0.0012604354304779836
2574,WYEE POINT,2259,0.0012604354304779836
2576,WYONG,2259,0.0012604354304779836
2577,WYONG CREEK,2259,0.0012604354304779836
2578,WYONGAH,2259,0.0012604354304779836
2580,YARRAMALONG,2259,0.0012604354304779836
2614,BIRMINGHAM GARDENS,2287,0.004560193445971722
2688,ELERMORE VALE,2287,0.004560193445971722
2695,FLETCHER,2287,0.004560193445971722
2785,MARYLAND,2287,0.004560193445971722
2798,MINMI,2287,0.004560193445971722
2845,RANKIN PARK,2287,0.004560193445971722
2905,WALLSEND,2287,0.004560193445971722
2906,WALLSEND SOUTH,2287,0.004560193445971722
3129,KOORAGANG,2304,0.003442386795854493
3155,MAYFIELD,2304,0.003442386795854493
3156,MAYFIELD EAST,2304,0.003442386795854493
3157,MAYFIELD NORTH,2304,0.003442386795854493
3158,MAYFIELD WEST,2304,0.003442386795854493
3229,SANDGATE,2304,0.003442386795854493
3277,WARABROOK,2304,0.003442386795854493
3347,BERESFIELD,2322,0.0015333803418026365
3354,BLACK HILL,2322,0.0015333803418026365
3393,CHISHOLM,2322,0.0015333803418026365
3473,HEXHAM,2322,0.0015333803418026365
3503,LENAGHAN,2322,0.0015333803418026365
3613,STOCKRINGTON,2322,0.0015333803418026365
3622,TARRO,2322,0.0015333803418026365
3627,THORNTON,2322,0.0015333803418026365
3629,TOMAGO,2322,0.0015333803418026365
